gene_symbol,logFC,adj.P.Val,regulation,AveExpr,moderated_t,in_hsa00010,KEGG_pathways_Up,n_KEGG_Up,KEGG_pathways_Down,n_KEGG_Down
ADH6,-1.66936061507937,0.000655649622609368,Down,6.87616455696203,-3.54734655401118,TRUE,,0,Tyrosine metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Fatty acid degradation; Alcoholic liver disease; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,8
GAPDH,1.66745039682542,2.69868670339425e-13,Up,16.9889873417722,7.87410843995799,TRUE,Biosynthesis of amino acids; Carbon metabolism; HIF-1 signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
LDHC,-1.66477068452381,0.000132610593940858,Down,2.22984778481013,-3.98846907407734,TRUE,,0,Pyruvate metabolism; Glucagon signaling pathway; Central carbon metabolism in cancer; HIF-1 signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,6
ENO1,1.57759424603177,4.14881585165804e-13,Up,16.103164556962,7.79866992888887,TRUE,Biosynthesis of amino acids; Carbon metabolism; HIF-1 signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
ENO2,1.56444196428571,3.77759765691245e-09,Up,11.0312848101266,6.29401291130065,TRUE,Biosynthesis of amino acids; Carbon metabolism; HIF-1 signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
ENO4,1.51864528769841,1.61536928590232e-11,Up,4.87593892405063,7.21432272783983,TRUE,Biosynthesis of amino acids; Carbon metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,4,,0
G6PC3,1.47676091269842,4.40074993352197e-17,Up,11.9462658227848,9.16549766968929,TRUE,Starch and sucrose metabolism; Galactose metabolism; Insulin signaling pathway; Glucagon signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,6,,0
ALDH3A1,1.32598804563493,0.00019559127431889,Up,6.20838829113924,3.87858815471913,TRUE,Tyrosine metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
ALDH2,1.29316914682542,1.04470186495064e-06,Up,13.8403702531646,5.14128668087405,TRUE,Fatty acid degradation; Alcoholic liver disease; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
ALDH3A2,1.19604960317462,3.77759765691245e-09,Up,12.3085348101266,6.29099530396545,TRUE,Fatty acid degradation; Alcoholic liver disease; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
GPI,1.1943253968254,3.83679937277509e-09,Up,14.1952848101266,6.27884968786381,TRUE,Carbon metabolism; Starch and sucrose metabolism; Pentose phosphate pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
GCK,-1.16881964285714,0.000157189360944153,Down,2.66810379746835,-3.93987658596246,TRUE,,0,Glucagon signaling pathway; Insulin signaling pathway; Central carbon metabolism in cancer; Starch and sucrose metabolism; Galactose metabolism; Carbon metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,8
TPI1,1.15001984126987,7.13269970709285e-09,Up,14.6774050632911,6.15217856574365,TRUE,Biosynthesis of amino acids; Carbon metabolism; Fructose and mannose metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
ACSS2,1.14971726190477,4.98153974710733e-07,Up,12.2230221518987,5.29692499498715,TRUE,Carbon metabolism; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,4,,0
PGM1,1.1280322420635,5.22462938764648e-09,Up,11.7655443037975,6.2157578424498,TRUE,Starch and sucrose metabolism; Pentose phosphate pathway; Galactose metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0
ADH1A,-1.12476309523809,1.46207678287402e-07,Down,0.741970886075949,-5.54996961963403,TRUE,,0,Tyrosine metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Fatty acid degradation; Alcoholic liver disease; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,8
PGAM1,1.09631944444446,2.3626718518187e-08,Up,13.5016772151899,5.91274661909721,TRUE,Biosynthesis of amino acids; Carbon metabolism; Central carbon metabolism in cancer; Glucagon signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,6,,0
DLD,1.09079216269842,4.66548504947822e-08,Up,12.296996835443,5.77993576666581,TRUE,Carbon metabolism; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,4,,0
FBP2,-1.07982008928571,1.81642567067357e-08,Down,0.616195886075949,-5.97638055279452,TRUE,,0,Glucagon signaling pathway; Insulin signaling pathway; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,7
